epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,15844.9,1.96922,0.81746,2.0852,0.9659,0.97693,0.98843,0.75814,1.62328,0.54211,1.98486,0.00016835,0.00016835,0.00016835
69,16085.1,1.97804,0.82217,2.09748,0.96623,0.97842,0.98825,0.75782,1.62292,0.54102,1.98682,0.0001634,0.0001634,0.0001634
70,16315.8,1.95877,0.81013,2.083,0.96562,0.97872,0.9882,0.75729,1.62227,0.54224,1.98601,0.00015845,0.00015845,0.00015845
71,16546.8,1.95436,0.81442,2.07997,0.96566,0.97813,0.98816,0.75726,1.62065,0.54102,1.98515,0.0001535,0.0001535,0.0001535
72,16777.6,1.95982,0.80913,2.07881,0.96602,0.97828,0.98829,0.75793,1.61836,0.53934,1.98275,0.00014855,0.00014855,0.00014855
73,17009.7,1.95149,0.80264,2.0764,0.96757,0.97762,0.98813,0.75781,1.61653,0.53914,1.98127,0.0001436,0.0001436,0.0001436
74,17242.3,1.95404,0.80629,2.0771,0.96711,0.97744,0.9881,0.75825,1.61521,0.53914,1.97953,0.00013865,0.00013865,0.00013865
75,17472.4,1.93233,0.7948,2.0723,0.965,0.9789,0.9882,0.75842,1.61329,0.5386,1.97764,0.0001337,0.0001337,0.0001337
76,17704.4,1.93582,0.79538,2.07328,0.96516,0.9795,0.988,0.75874,1.60978,0.53763,1.97484,0.00012875,0.00012875,0.00012875
77,17934.3,1.92357,0.79116,2.06771,0.96472,0.98087,0.98805,0.75941,1.60759,0.53501,1.97322,0.0001238,0.0001238,0.0001238
78,18167.5,1.92107,0.78939,2.06353,0.96631,0.97915,0.98788,0.75973,1.60512,0.53401,1.97196,0.00011885,0.00011885,0.00011885
79,18400.8,1.91768,0.78529,2.06536,0.96604,0.97887,0.98801,0.75999,1.60315,0.5344,1.97076,0.0001139,0.0001139,0.0001139
80,18632.1,1.91946,0.7874,2.06102,0.96793,0.9782,0.9882,0.7606,1.60206,0.53242,1.9699,0.00010895,0.00010895,0.00010895
81,18863.8,1.90912,0.78174,2.06227,0.96823,0.97893,0.98826,0.76091,1.60023,0.53025,1.96911,0.000104,0.000104,0.000104
82,19094.1,1.92216,0.78487,2.06126,0.96772,0.97922,0.98824,0.76102,1.59899,0.52945,1.96863,9.905e-05,9.905e-05,9.905e-05
83,19326.1,1.90842,0.77736,2.06199,0.968,0.97813,0.98842,0.76112,1.59781,0.52835,1.96778,9.41e-05,9.41e-05,9.41e-05
84,19556.9,1.89341,0.77419,2.05709,0.96714,0.97835,0.98826,0.76141,1.59588,0.5288,1.96681,8.915e-05,8.915e-05,8.915e-05
85,19787.2,1.90272,0.77331,2.06212,0.96658,0.97959,0.98839,0.76195,1.59435,0.5275,1.966,8.42e-05,8.42e-05,8.42e-05
86,20015.8,1.91014,0.77611,2.05568,0.96893,0.97784,0.98836,0.76196,1.59347,0.52714,1.96568,7.925e-05,7.925e-05,7.925e-05
87,20247.9,1.88043,0.76256,2.04771,0.9695,0.97857,0.98849,0.76232,1.59235,0.52702,1.96501,7.43e-05,7.43e-05,7.43e-05
88,20480,1.90196,0.76954,2.05711,0.96885,0.979,0.98852,0.76252,1.59133,0.52633,1.96438,6.935e-05,6.935e-05,6.935e-05
89,20711.8,1.89166,0.76529,2.04803,0.9695,0.978,0.98859,0.76265,1.5906,0.52604,1.96404,6.44e-05,6.44e-05,6.44e-05
90,20943,1.8927,0.76864,2.05326,0.97,0.97769,0.98864,0.76254,1.59025,0.52624,1.96359,5.945e-05,5.945e-05,5.945e-05
91,21170,1.89025,0.64582,2.0694,0.96814,0.97926,0.98862,0.76301,1.58937,0.52511,1.96289,5.45e-05,5.45e-05,5.45e-05
92,21393.9,1.87571,0.63971,2.06969,0.96916,0.97835,0.98874,0.76361,1.58799,0.52426,1.96273,4.955e-05,4.955e-05,4.955e-05
93,21617.7,1.8693,0.63555,2.06244,0.96942,0.97754,0.98878,0.76422,1.58705,0.52396,1.96212,4.46e-05,4.46e-05,4.46e-05
94,21841.6,1.86532,0.6341,2.05848,0.96886,0.97778,0.98882,0.7646,1.58596,0.52414,1.96131,3.965e-05,3.965e-05,3.965e-05
95,22065.5,1.85822,0.63396,2.05659,0.96936,0.97864,0.98889,0.76503,1.58489,0.523,1.96083,3.47e-05,3.47e-05,3.47e-05
96,22288.1,1.8536,0.62899,2.05883,0.97091,0.97811,0.98891,0.76538,1.58393,0.52238,1.96049,2.975e-05,2.975e-05,2.975e-05
97,22509.6,1.84305,0.62421,2.05258,0.97019,0.97769,0.98886,0.7653,1.58297,0.52277,1.95989,2.48e-05,2.48e-05,2.48e-05
98,22732.5,1.84054,0.62543,2.05361,0.97069,0.97798,0.98896,0.76577,1.5824,0.52198,1.95979,1.985e-05,1.985e-05,1.985e-05
99,22954.2,1.83794,0.6248,2.05537,0.97062,0.97798,0.98898,0.76606,1.58212,0.52123,1.95956,1.49e-05,1.49e-05,1.49e-05
100,23174.9,1.83326,0.61843,2.04838,0.9703,0.97903,0.98898,0.7665,1.58149,0.52083,1.95936,9.95e-06,9.95e-06,9.95e-06
